"Data";"Descrição";"Valor";"Conta";"Categoria"
"14/01/2026";"AMAZONMKTPLC*LOREALSHO";"-19.90";"BRB";"Saúde"
"15/01/2026";"PRUDENT*APOL001495366";"-342.97";"BRB";"Serviços"
"15/01/2026";"EC *SHELLBOX";"-265.82";"BRB";"Transporte"
"17/01/2026";"CRM DF";"-900.60";"BRB";"Serviços"
"17/01/2026";"CRM DF";"-2067";"BRB";"Serviços"
"18/01/2026";"ORDEM DOS ADVOGADOS D";"-300";"BRB";"Serviços"
"18/01/2026";"AMAZON BR";"-42.99";"BRB";"Outros"
"18/01/2026";"AMAZONMKTPLC*CMBSHOPLT";"-56.31";"BRB";"Outros"
"18/01/2026";"AMAZONMKTPLC*BETICOMER";"-30.89";"BRB";"Supermercado"
"24/01/2026";"AMAZONMKTPLC*BABYQUIPO";"-20";"BRB";"Casa"
"26/01/2026";"CONTA VIVO";"-379.58";"BRB";"Serviços"
"28/01/2026";"DL*GOOGLE GOOGLE";"-96.99";"BRB";"Serviços"
"30/01/2026";"NOTION LABS, INC.";"-4.54";"BRB";"Serviços"
"31/01/2026";"AMAZONMKTPLC*NGMELLO";"-61.66";"BRB";"Outros"
"31/01/2026";"AMAZONMKTPLC*BRUNOOLIV";"-129.70";"BRB";"Outros"
"31/01/2026";"AMAZONMKTPLC*MUNDIALVA";"-44.75";"BRB";"Casa"
"31/01/2026";"AMAZONMKTPLC*CLICANDOV";"-56.90";"BRB";"Outros"
"31/01/2026";"AMAZON MARKETPLACE";"-44.45";"BRB";"Outros"
"31/01/2026";"Visa Nacional";"56.90";"BRB";"A classificar"
"01/02/2026";"EC *SHELLBOX";"-197.17";"BRB";"Transporte"
"01/02/2026";"IFD*BR";"-69.53";"BRB";"Restaurante"
"04/02/2026";"UBER * PENDING";"-14.97";"BRB";"Transporte"
"07/02/2026";"AMAZONMKTPLC*OLIVEIRAC";"-26.98";"BRB";"Outros"
"07/02/2026";"AMAZON BR";"-99.90";"BRB";"Outros"
"07/02/2026";"AMAZONMKTPLC*HAIRPROCO";"-279.60";"BRB";"Saúde"
"08/02/2026";"AMAZONMKTPLC*RODRIGOBO";"-80.59";"BRB";"Outros"
"11/02/2026";"WWW.PERPLEXITY.AI";"-0.95";"BRB";"Serviços"
"30/01/2026";"NOTION LABS, INC. US$ 24,00 R$ 5,4028";"-129.67";"BRB";"Serviços"
"11/02/2026";"WWW.PERPLEXITY.AI US$ 5,00 R$ 5,4096";"-27.05";"BRB";"Serviços"
