"Data";"Descrição";"Valor";"Conta";"Categoria"
"22/05/2025";"VINDI *INVESTIDOR10 (5/10)";"-19.90";"BRB";"Educação"
"09/10/2025";"LIBERTY PRODUTOS OPTI (3/4)";"-89";"BRB";"Saúde"
"16/11/2025";"HERING STORE AGUAS CLA (3/6)";"-122.48";"BRB";"Vestuário"
"28/11/2025";"LOCALIZA (2/5)";"-247.14";"BRB";"Transporte"
"19/12/2025";"ACCV CALCADOS LTDA";"-79.96";"BRB";"Vestuário"
"13/01/2026";"EMPORIO JARDIM";"-25.40";"BRB";"Supermercado"
"14/01/2026";"HTM *ASIMOVACADEMY";"-3365.70";"BRB";"Educação"
"14/01/2026";"BAGATELLE";"-24.06";"BRB";"Restaurante"
"14/01/2026";"MD FRIOS E LATICINIO";"-35.29";"BRB";"Supermercado"
"14/01/2026";"EBN*SPOTIFY";"-40.90";"BRB";"Lazer"
"15/01/2026";"BAGATELLE";"-28.44";"BRB";"Restaurante"
"15/01/2026";"23951771MATHEUS";"-8.51";"BRB";"Outros"
"16/01/2026";"BAGATELLE";"-28.04";"BRB";"Restaurante"
"16/01/2026";"SITIO VERDE HORTFRUTI";"-188.91";"BRB";"Supermercado"
"18/01/2026";"MAWE ACAITERIA";"-36.51";"BRB";"Restaurante"
"19/01/2026";"QUALICOOK REFEICOES";"-167.20";"BRB";"Restaurante"
"19/01/2026";"INTI*TEATROCOLINAS";"-180";"BRB";"Lazer"
"19/01/2026";"BAGATELLE";"-29.92";"BRB";"Restaurante"
"20/01/2026";"SITIO VERDE HORTFRUTI (1/3)";"-53.57";"BRB";"Supermercado"
"22/01/2026";"RAIA3161";"-138.76";"BRB";"Saúde"
"22/01/2026";"CVS";"-374.07";"BRB";"Saúde"
"23/01/2026";"CPARK";"-13";"BRB";"Transporte"
"23/01/2026";"AL BADAH COLINAS";"-55.66";"BRB";"Restaurante"
"25/01/2026";"IFOOD";"-7.95";"BRB";"Restaurante"
"27/01/2026";"EMPORIO JARDIM";"-2.52";"BRB";"Supermercado"
"29/01/2026";"COMERCIO DE MILHO VERD";"-14";"BRB";"Supermercado"
"29/01/2026";"FREDS";"-5";"BRB";"Outros"
"29/01/2026";"SITIO VERDE HORTFRUTI";"-84.15";"BRB";"Supermercado"
"31/01/2026";"MILETO BAR E REST";"-84.59";"BRB";"Restaurante"
"31/01/2026";"MP *GELATERIADAMA";"-111.40";"BRB";"Restaurante"
"31/01/2026";"MP *GELATERIADAMA";"-7.90";"BRB";"Restaurante"
"01/02/2026";"BELLABUARQUE";"-4.59";"BRB";"Vestuário"
"01/02/2026";"IBIS BUDGET SAO PAULO";"-46";"BRB";"Viagem"
"05/02/2026";"SITIO VERDE HORTFRUTI";"-177.01";"BRB";"Supermercado"
"06/02/2026";"23951771MATHEUS";"-13.18";"BRB";"Outros"
"06/02/2026";"OUTBACK SAO JOSE DOS CA";"-103.88";"BRB";"Restaurante"
"07/02/2026";"23951771MATHEUS";"-11";"BRB";"Outros"
"08/02/2026";"MAWE ACAITERIA";"-29.72";"BRB";"Restaurante"
"09/02/2026";"CVS";"-255.40";"BRB";"Saúde"
"11/02/2026";"CREMAGE STA CLARA";"-11.50";"BRB";"Outros"
"11/02/2026";"COMERCIO DE MILHO VERD";"-22";"BRB";"Supermercado"
