"Data";"Descrição";"Valor";"Conta";"Categoria"
"25/11/2025";"MOVIDA RAC REAP (3/3)";"-185.07";"BRB";"Transporte"
"27/12/2025";"SAMSUNG TERRACO S (2/12)";"-208.25";"BRB";"Eletrônicos"
"11/01/2026";"GOOGLE INSTAGRAM";"-120.90";"BRB";"Serviços"
"13/01/2026";"LINKEDIN";"-809.91";"BRB";"Serviços"
"15/01/2026";"FCCOMERCIOE";"-6.30";"BRB";"Outros"
"16/01/2026";"TAIOBA SELF SERVICE";"-9";"BRB";"Restaurante"
"16/01/2026";"THE PLANT SUL";"-162.38";"BRB";"Casa"
"18/01/2026";"ATACADAO DIA A DIA";"-788.88";"BRB";"Supermercado"
"19/01/2026";"VMR COM DE JORNAIS";"-8";"BRB";"Lazer"
"20/01/2026";"LANCHONETE ESCOLA";"-9.50";"BRB";"Restaurante"
"20/01/2026";"WOW*FIO MARAVILHA BARB";"-275";"BRB";"Serviços"
"22/01/2026";"DROGASIL 1391";"-58.07";"BRB";"Saúde"
"25/01/2026";"CHURROS DA FATIMA REST";"-16";"BRB";"Restaurante"
"25/01/2026";"ATACADAO DIA A DIA";"-739.09";"BRB";"Supermercado"
"28/01/2026";"DROGASIL 1368";"-102.54";"BRB";"Saúde"
"28/01/2026";"TAIOBA SELF SERVICE";"-18.59";"BRB";"Restaurante"
"29/01/2026";"AHCAI SUDOESTE";"-35";"BRB";"Outros"
"31/01/2026";"BIG BOX";"-12.64";"BRB";"Outros"
"01/02/2026";"ESTETICA AUTOMOTIVA LA";"-65";"BRB";"Transporte"
"01/02/2026";"ATACADAO DIA A DIA";"-410.93";"BRB";"Supermercado"
"01/02/2026";"VMR COM DE JORNAIS";"-16";"BRB";"Lazer"
"02/02/2026";"TAIOBA SELF SERVICE";"-26.51";"BRB";"Restaurante"
"02/02/2026";"DROGASIL 1368";"-158.93";"BRB";"Saúde"
"03/02/2026";"DROGARIA ALAM";"-56.34";"BRB";"Saúde"
"03/02/2026";"BENECOLOR";"-38";"BRB";"Serviços"
"03/02/2026";"TAIOBA SELF SERVICE";"-5.88";"BRB";"Restaurante"
"04/02/2026";"TAIOBA SELF SERVICE";"-9.54";"BRB";"Restaurante"
"05/02/2026";"TAIOBA SELF SERVICE";"-30.47";"BRB";"Restaurante"
"07/02/2026";"DROGASIL 1368";"-225.28";"BRB";"Saúde"
"07/02/2026";"BOTECODOCRUZEIRO";"-153.56";"BRB";"Restaurante"
"08/02/2026";"ATACADAO DIA A DIA";"-690.82";"BRB";"Supermercado"
"08/02/2026";"SENNALAVCAR";"-55";"BRB";"Transporte"
"08/02/2026";"OPENAI *CHATGPT SUBSCR";"-3.83";"BRB";"Serviços"
"09/02/2026";"LANCHONETE ESCOLA";"-23.35";"BRB";"Restaurante"
"09/02/2026";"AHCAI";"-39";"BRB";"Outros"
"12/02/2026";"Anuidade";"-140";"BRB";"Serviços"
"12/02/2026";"DESCONTO ANUIDADE 50%";"70";"BRB";"A classificar"
"12/02/2026";"Tarifa Alerta por SMS";"-5";"BRB";"Serviços"
"08/02/2026";"OPENAI *CHATGPT SUBSCR US$ 20,00 R$ 5,4677";"-109.35";"BRB";"Serviços"
