"Data";"Descrição";"Valor";"Conta";"Categoria"
"17/02/2026";"ARISTO (3/12)";"-291.42";"BRB";"Outros"
"30/03/2026";"ARAMIS OUTLET BRASILIA (2/2)";"-552";"BRB";"Vestuário"
"11/04/2026";"AMAZONMKTPLC*COMERCIAL";"-37.11";"BRB";"Outros"
"12/04/2026";"AMAZONMKTPLC*VELOSYECO";"-76.90";"BRB";"Outros"
"15/04/2026";"DL *UBERRIDES";"-30.99";"BRB";"Transporte"
"15/04/2026";"PRUDENTIAL D*APOL00149536";"-358.18";"BRB";"Serviços"
"15/04/2026";"AMAZON BR";"-76.70";"BRB";"Outros"
"19/04/2026";"EC *SHELLBOX";"-289.45";"BRB";"Transporte"
"22/04/2026";"MP *SHELLBOX";"-131.71";"BRB";"Transporte"
"25/04/2026";"AMAZON PRIME ALUGUEL";"-14.90";"BRB";"Lazer"
"26/04/2026";"AMAZON BR";"-106.75";"BRB";"Outros"
"26/04/2026";"GOOGLE ONE";"-96.99";"BRB";"Serviços"
"27/04/2026";"CONTA VIVO";"-380";"BRB";"Serviços"
"30/04/2026";"OPENAI *CHATGPT SUBSCR";"-7.49";"BRB";"Serviços"
"30/04/2026";"NOTION LABS, INC.";"-4.37";"BRB";"Serviços"
"01/05/2026";"DL*GOOGLE CLOUD";"-104.81";"BRB";"Serviços"
"03/05/2026";"AMAZON BR";"-49.80";"BRB";"Outros"
"05/05/2026";"EC *SHELLBOX";"-251.16";"BRB";"Transporte"
"09/05/2026";"AMAZONMKTPLC*BATRAVESS";"-64.90";"BRB";"Outros"
"30/04/2026";"NOTION LABS, INC. US$ 24,00 R$ 5,1978";"-124.75";"BRB";"Serviços"
"30/04/2026";"OPENAI *CHATGPT SUBSCR US$ 41,19 R$ 5,1978";"-214.10";"BRB";"Serviços"
