"Data";"Descrição";"Valor";"Conta";"Categoria"
"27/12/2025";"SAMSUNG TERRACO S (5/12)";"-208.25";"BRB";"Eletrônicos"
"22/02/2026";"ALEXANIA OUTLET 000142 (3/3)";"-279.99";"BRB";"Vestuário"
"22/02/2026";"ALEXANIA OUTLET 000142 (3/3)";"-112.59";"BRB";"Vestuário"
"22/02/2026";"ARAMIS OUTLET BRASILIA (3/3)";"-803.10";"BRB";"Vestuário"
"14/03/2026";"OTICAS DINIZ (2/7)";"-500";"BRB";"Saúde"
"14/03/2026";"SEPHORA IGUABRASI (2/2)";"-287";"BRB";"Lazer"
"13/04/2026";"TAIOBA SELF SERVICE";"-20.54";"BRB";"Restaurante"
"14/04/2026";"FCCOMERCIOE";"-5.50";"BRB";"Outros"
"14/04/2026";"TAIOBA SELF SERVICE";"-18.49";"BRB";"Restaurante"
"15/04/2026";"TAIOBA SELF SERVICE";"-32.07";"BRB";"Restaurante"
"16/04/2026";"BIG BOX";"-38.25";"BRB";"Supermercado"
"16/04/2026";"SMAFF COMBUSTIVEIS";"-297.54";"BRB";"Transporte"
"16/04/2026";"WOW*FIO MARAVILHA BARB";"-150";"BRB";"Serviços"
"16/04/2026";"BOULEVARD SHOPPING BRA";"-9.50";"BRB";"Vestuário"
"16/04/2026";"VIVARA BSB (1/10)";"-414.20";"BRB";"Vestuário"
"17/04/2026";"AUTO POSTO RDG";"-171.87";"BRB";"Transporte"
"17/04/2026";"SUPERKILO";"-3.29";"BRB";"Supermercado"
"17/04/2026";"MAXIMA GESTAO";"-549.34";"BRB";"Serviços"
"17/04/2026";"OHASHI SUSHI BAR";"-237.74";"BRB";"Restaurante"
"17/04/2026";"JK COM E SERVICOS";"-12.50";"BRB";"Serviços"
"17/04/2026";"CHURRASCO NA BRASA";"-8";"BRB";"Restaurante"
"18/04/2026";"TERRARIO RESTAURANTE";"-250";"BRB";"Restaurante"
"21/04/2026";"AROEIRA B";"-335.50";"BRB";"Outros"
"22/04/2026";"B91*RESTAURANTE EXPRES";"-87.67";"BRB";"Restaurante"
"22/04/2026";"AHCAI SUDOESTE";"-38";"BRB";"Restaurante"
"22/04/2026";"POSTO PETROMINAS";"-218.26";"BRB";"Transporte"
"24/04/2026";"ZIG*313 DRINKBAR";"-129.52";"BRB";"Lazer"
"24/04/2026";"REDE AQUI";"-150";"BRB";"Outros"
"26/04/2026";"ATACADAO DIA A DIA";"-790.28";"BRB";"Supermercado"
"29/04/2026";"JKA RESTAURANTES";"-59.07";"BRB";"Restaurante"
"01/05/2026";"CAJU LIMAO COMERCIO DE";"-100.46";"BRB";"Outros"
"01/05/2026";"DROGASIL 1368";"-130.30";"BRB";"Saúde"
"02/05/2026";"BOULEVARD SHOPPING BRA";"-9.50";"BRB";"Outros"
"02/05/2026";"AHCAI SUDOESTE";"-24";"BRB";"Restaurante"
"04/05/2026";"DROGASIL 1368";"-63.84";"BRB";"Saúde"
"04/05/2026";"TAIOBA SELF SERVICE";"-15.96";"BRB";"Restaurante"
"05/05/2026";"LANCHONETE ESCOLA";"-11.04";"BRB";"Restaurante"
"06/05/2026";"GOMIDE COMERCIO DE ALIM";"-39";"BRB";"Supermercado"
"06/05/2026";"LANCHONETE ESCOLA";"-31.76";"BRB";"Restaurante"
"07/05/2026";"OPENAI";"-1.79";"BRB";"Serviços"
"07/05/2026";"OPENAI";"-2.68";"BRB";"Serviços"
"07/05/2026";"TAIOBA SELF SERVICE";"-19.45";"BRB";"Restaurante"
"07/05/2026";"CONVENIENCIA";"-4.99";"BRB";"Supermercado"
"08/05/2026";"TAIOBA SELF SERVICE";"-7.06";"BRB";"Restaurante"
"08/05/2026";"OPENAI";"-0.89";"BRB";"Serviços"
"09/05/2026";"ATACADAO DIA A DIA";"-697.68";"BRB";"Supermercado"
"10/05/2026";"OPENAI";"-1.79";"BRB";"Serviços"
"10/05/2026";"VIVARA STB";"-500";"BRB";"Vestuário"
"10/05/2026";"COCO BAMBU LAGO S";"-220.08";"BRB";"Restaurante"
"11/05/2026";"CASA SAO PAULO";"-53.40";"BRB";"Casa"
"13/05/2026";"Anuidade (2/12)";"-140";"BRB";"Serviços"
"13/05/2026";"DESCONTO ANUIDADE 50%";"70";"BRB";"A classificar"
"13/05/2026";"Tarifa Alerta por SMS";"-5";"BRB";"Serviços"
"07/05/2026";"OPENAI US$ 15,00 R$ 5,1131";"-76.70";"BRB";"Serviços"
"07/05/2026";"OPENAI US$ 10,00 R$ 5,1131";"-51.13";"BRB";"Serviços"
"08/05/2026";"OPENAI US$ 5,00 R$ 5,1131";"-25.57";"BRB";"Serviços"
"10/05/2026";"OPENAI US$ 10,00 R$ 5,1131";"-51.13";"BRB";"Serviços"
