"Data";"Descrição";"Valor";"Conta";"Categoria"
"22/05/2026";"VINDI *INVESTIDOR10 (12/12)";"-19.90";"BRB";"Serviços"
"09/10/2025";"LIBERTY PRODUTOS OPTI (8/10)";"-89";"BRB";"Saúde"
"28/11/2025";"LOCALIZA (6/6)";"-247.14";"BRB";"Transporte"
"19/12/2025";"ACCV CALCADOS LTDA (5/5)";"-79.96";"BRB";"Vestuário"
"24/03/2026";"DROGARIA SAO PAULO 083 (2/3)";"-285.26";"BRB";"Saúde"
"14/04/2026";"DPASCHOAL 032 SJC";"-2939.36";"BRB";"Transporte"
"14/04/2026";"MERCADINHO PIRATI";"-105";"BRB";"Supermercado"
"14/04/2026";"LA CUISINE";"-35.50";"BRB";"Restaurante"
"14/04/2026";"EBN *SPOTIFY";"-40.90";"BRB";"Lazer"
"18/04/2026";"CONCESSIONARIA ROTA DA";"-13.30";"BRB";"Transporte"
"18/04/2026";"CONCESSIONARIA ROTA DA";"-15.30";"BRB";"Transporte"
"18/04/2026";"CONCESSIONARIA ROTA DA";"-10.60";"BRB";"Transporte"
"18/04/2026";"MINUTO PA 1536@@@@@@@@";"-67.18";"BRB";"Serviços"
"18/04/2026";"CONCESSIONARIA DO";"-8.10";"BRB";"Transporte"
"19/04/2026";"PC GRUPO STAFF";"-104.80";"BRB";"Serviços"
"20/04/2026";"MR MIX";"-39.95";"BRB";"Restaurante"
"20/04/2026";"MINUTO PA 1536@@@@@@@@";"-8.99";"BRB";"Serviços"
"20/04/2026";"GRUPO MADERO";"-150.48";"BRB";"Restaurante"
"21/04/2026";"CONCESSIONARIA ROTA DA";"-10.60";"BRB";"Transporte"
"21/04/2026";"CONCESSIONARIA ROTA DA";"-19.95";"BRB";"Transporte"
"21/04/2026";"MERCADOLIVRE*MERCADOLI";"-38.76";"BRB";"Outros"
"21/04/2026";"CONCESSIONARIA ROTA DA";"-15.30";"BRB";"Transporte"
"21/04/2026";"CONCESSIONARIA DO";"-8.10";"BRB";"Transporte"
"22/04/2026";"SITIO VERDE HORTFRUTI";"-52.81";"BRB";"Supermercado"
"23/04/2026";"MAQUIM COMERCIO D";"-535";"BRB";"Outros"
"25/04/2026";"CIBELE DEMETRIO DE BRIT";"-61.05";"BRB";"Serviços"
"25/04/2026";"IFD*IFOOD";"-7.95";"BRB";"Restaurante"
"25/04/2026";"BARTHO BEER";"-16";"BRB";"Lazer"
"26/04/2026";"N S A COMERCIO DE ALIM";"-52";"BRB";"Supermercado"
"27/04/2026";"MD FRIOS E LATICINIO";"-52.02";"BRB";"Supermercado"
"28/04/2026";"SITIO VERDE HORTFRUTI";"-127.77";"BRB";"Supermercado"
"28/04/2026";"MIOMERCATO";"-10.39";"BRB";"Supermercado"
"30/04/2026";"DUDAPROD";"-40";"BRB";"Outros"
"01/05/2026";"DUDAPROD";"-94";"BRB";"Serviços"
"01/05/2026";"CARMENREGINA";"-12";"BRB";"Vestuário"
"01/05/2026";"CARMENREGINA";"-5";"BRB";"Serviços"
"01/05/2026";"VIVIANI MASSAS";"-48";"BRB";"Restaurante"
"02/05/2026";"ANDREAREGINADOS";"-44";"BRB";"Serviços"
"03/05/2026";"MAWE ACAITERIA";"-36.17";"BRB";"Restaurante"
"04/05/2026";"AUTO POSTO CATAVENTO LI";"-188.73";"BRB";"Transporte"
"04/05/2026";"EMPORIO JARDIM";"-38.30";"BRB";"Supermercado"
"04/05/2026";"MD FRIOS E LATICINIO";"-39.97";"BRB";"Supermercado"
"05/05/2026";"D E G COMERCIO DE";"-15.97";"BRB";"Outros"
"05/05/2026";"CVS";"-378.84";"BRB";"Saúde"
"05/05/2026";"EMPORIO JARDIM";"-32.40";"BRB";"Supermercado"
"07/05/2026";"VIA PARK";"-12";"BRB";"Transporte"
"08/05/2026";"HASHI EXPRESS";"-42.08";"BRB";"Restaurante"
"08/05/2026";"SITIO VERDE HORTFRUTI";"-29.96";"BRB";"Supermercado"
"08/05/2026";"REDECINE-VALESUL";"-45";"BRB";"Lazer"
"09/05/2026";"ATACADAO 744 AS";"-38.81";"BRB";"Supermercado"
