"Data";"Descrição";"Valor";"Conta";"Categoria"
"09/05/2025";"VIVO DF LJ D024 (9/10)";"-269.90";"BRB";"Serviços"
"17/06/2025";"WWW-CASASBAHIA-COM-BR (7/10)";"-247.76";"BRB";"Casa"
"09/09/2025";"PG *AFYA PARTICIP (5/12)";"-212.35";"BRB";"Educação"
"29/10/2025";"IG*MYPROFIT (3/12)";"-17.90";"BRB";"Serviços"
"25/11/2025";"SKYLER MR HOTEL (2/3)";"-495.72";"BRB";"Viagem"
"18/12/2025";"BIG BOX";"-97.65";"BRB";"Eletrônicos"
"19/12/2025";"MANGAI DF ID";"-41.98";"BRB";"Restaurante"
"20/12/2025";"4935 SAM S BRASILIA";"-457.72";"BRB";"Supermercado"
"20/12/2025";"BIG BOX";"-38.54";"BRB";"Supermercado"
"20/12/2025";"LOJA 18 STAR (1/6)";"-150";"BRB";"Vestuário"
"20/12/2025";"LOJA 18 STAR (1/6)";"-200";"BRB";"Vestuário"
"20/12/2025";"REDE DE ESTACIONAMENTOS";"-22";"BRB";"Transporte"
"21/12/2025";"DEUZARINACOSTA";"-200";"BRB";"Outros"
"21/12/2025";"MP *GOSTOSURASDAV";"-142";"BRB";"Restaurante"
"22/12/2025";"CDUS";"-900";"BRB";"Outros"
"23/12/2025";"LABORATORIO SABIN";"-310.65";"BRB";"Saúde"
"23/12/2025";"ATACADAO DIA A DIA";"-741.89";"BRB";"Supermercado"
"23/12/2025";"LEROY MERLIN";"-67.58";"BRB";"Casa"
"23/12/2025";"BIG BOX";"-98.33";"BRB";"Outros"
"24/12/2025";"BRADESCO AUT*05DE10";"-307.61";"BRB";"Serviços"
"24/12/2025";"BIG BOX";"-23.06";"BRB";"Outros"
"24/12/2025";"BIG BOX";"-56.92";"BRB";"Outros"
"28/12/2025";"RAIA DROGASIL SA";"-14.23";"BRB";"Saúde"
"28/12/2025";"IFD *ATACADAO SA";"-280.01";"BRB";"Supermercado"
"04/01/2026";"TERMINAL DE BRASILIA";"-3.74";"BRB";"Transporte"
"04/01/2026";"MP *DOGSUDOESTE";"-52";"BRB";"Outros"
"04/01/2026";"EBN*SPOTIFY";"-40.90";"BRB";"Lazer"
"05/01/2026";"BIG BOX";"-87.50";"BRB";"Supermercado"
"09/01/2026";"APPLE.COM/BILL";"-19.90";"BRB";"Lazer"
"10/01/2026";"BIG BOX";"-7.01";"BRB";"Supermercado"
"11/01/2026";"ATACADAO DROGACENTER EX";"-58.91";"BRB";"Saúde"
"11/01/2026";"DROGASIL 1368";"-361.29";"BRB";"Saúde"
