"Data";"Descrição";"Valor";"Conta";"Categoria"
"16/01/2026";"OPENAISAN FRANCISCOUSA";"-57";"BRB";"Serviços"
"16/01/2026";"IOF INTERNACIONAL - OPENAISAN FRANCISCOUSA";"-2";"BRB";"Serviços"
"16/01/2026";"OPENAISAN FRANCISCOUSA";"-28.50";"BRB";"Serviços"
"16/01/2026";"IOF INTERNACIONAL - OPENAISAN FRANCISCOUSA";"-1";"BRB";"Serviços"
"05/01/2026";"CLUBE LATAM PASS MATRISAO PAULOBRA";"-78.80";"BRB";"Viagem"
"26/12/2025";"PAGAMENTO DEBITO AUTOMATICO";"113.80";"BRB";"A classificar"
"18/12/2025";"Mensalidade - Plano do cartão";"-35";"BRB";"Serviços"
