"Data";"Descrição";"Valor";"Conta";"Categoria"
"21/01/2026";"PG *IBEE IBEE (8/12)";"-1088.27";"BRB";"Outros"
"22/05/2025";"VINDI *INVESTIDOR10 (4/4)";"-19.90";"BRB";"Educação"
"26/09/2025";"OSCAR (4/10)";"-99.99";"BRB";"Outros"
"09/10/2025";"LIBERTY PRODUTOS OPTI (3/3)";"-89";"BRB";"Saúde"
"15/10/2025";"PG *CNE CONCURSOS (2/4)";"-382.50";"BRB";"Educação"
"16/11/2025";"HERING STORE AGUAS CLA (2/6)";"-122.48";"BRB";"Vestuário"
"28/11/2025";"LOCALIZA (2/2)";"-247.14";"BRB";"Transporte"
"06/12/2025";"ARMARINOS FERNANDO - S";"-106.14";"BRB";"Casa"
"12/12/2025";"BRASIL GAS ADMINISTRAC";"-65.29";"BRB";"Casa"
"13/12/2025";"ZIG*VARANDA ESPETINHOS";"-74.90";"BRB";"Restaurante"
"13/12/2025";"RAIA93";"-32.49";"BRB";"Saúde"
"13/12/2025";"DUDAPROD";"-25";"BRB";"Serviços"
"14/12/2025";"EBN*SPOTIFY";"-40.90";"BRB";"Lazer"
"14/12/2025";"DUDAPROD";"-6";"BRB";"Lazer"
"15/12/2025";"MD FRIOS E LATICINIO";"-23.19";"BRB";"Supermercado"
"15/12/2025";"ZAE SAO JOSE";"-5.20";"BRB";"Outros"
"15/12/2025";"EMPORIO JARDIM";"-33.30";"BRB";"Supermercado"
"16/12/2025";"EMPORIO JARDIM";"-25.40";"BRB";"Supermercado"
"17/12/2025";"SITIO VERDE HORTFRUTI";"-95.79";"BRB";"Supermercado"
"18/12/2025";"BAGATELLE";"-31.87";"BRB";"Restaurante"
"18/12/2025";"MD FRIOS E LATICINIO";"-17.70";"BRB";"Supermercado"
"19/12/2025";"ANCAR PARKING";"-12";"BRB";"Transporte"
"19/12/2025";"MD FRIOS E LATICINIO (1/5)";"-24.11";"BRB";"Supermercado"
"19/12/2025";"ACCV CALCADOS LTDA";"-79.97";"BRB";"Vestuário"
"19/12/2025";"CVS";"-55.20";"BRB";"Saúde"
"20/12/2025";"CINEMARK CENTER VALE";"-75";"BRB";"Lazer"
"20/12/2025";"BROWOLF BARBEARIA";"-75";"BRB";"Serviços"
"20/12/2025";"SUCO BAGACO";"-19.99";"BRB";"Restaurante"
"20/12/2025";"CHURRASKILO BETHANIA";"-41.17";"BRB";"Restaurante"
"22/12/2025";"MD FRIOS E LATICINIO";"-12.44";"BRB";"Supermercado"
"24/12/2025";"CHURRASKILO BETHANIA";"-48.36";"BRB";"Restaurante"
"25/12/2025";"IFOOD";"-7.95";"BRB";"Restaurante"
"26/12/2025";"PADARIA PAO DE QUEIJO";"-38.10";"BRB";"Supermercado"
"26/12/2025";"PADARIA PAO DE QU";"-36";"BRB";"Supermercado"
"27/12/2025";"MDPSTHSHCENTERVALE";"-168.30";"BRB";"Lazer"
"27/12/2025";"MERCADINHO PIRATI";"-9.47";"BRB";"Supermercado"
"27/12/2025";"BACIO DI LATTE-LJ0083";"-27.95";"BRB";"Restaurante"
"27/12/2025";"BRASIL GAS ADMINISTRAC";"-185.85";"BRB";"Casa"
"27/12/2025";"ESTACIONAMENTO VA";"-12";"BRB";"Transporte"
"29/12/2025";"CHURRASKILO BETHANIA";"-40.46";"BRB";"Restaurante"
"30/12/2025";"JIM.COM* RICARDO SILVEIRA";"-46";"BRB";"Outros"
"30/12/2025";"COUTINHO COUTINHO LA";"-26.90";"BRB";"Outros"
"30/12/2025";"UBER * PENDING";"-7.94";"BRB";"Transporte"
"30/12/2025";"QSQ PH GUARULHOS";"-39.90";"BRB";"Transporte"
"02/01/2026";"AHCAI SUDOESTE";"-37";"BRB";"Outros"
"03/01/2026";"IFD*ESTA";"-67.90";"BRB";"Restaurante"
"03/01/2026";"AHCAI SUDOESTE";"-34";"BRB";"Restaurante"
"04/01/2026";"PIZZA HUT AEROPOR";"-39.90";"BRB";"Restaurante"
"04/01/2026";"ROP COM ALIM";"-11";"BRB";"Supermercado"
"04/01/2026";"ROP COM ALIM";"-5";"BRB";"Supermercado"
"05/01/2026";"EMPORIO JARDIM";"-24.90";"BRB";"Supermercado"
"05/01/2026";"SITIO VERDE HORTFRUTI";"-132.55";"BRB";"Supermercado"
"06/01/2026";"BAGATELLE";"-26.43";"BRB";"Restaurante"
"06/01/2026";"CENTRO BOLOS";"-80";"BRB";"Restaurante"
"07/01/2026";"BAGATELLE";"-25.19";"BRB";"Restaurante"
"08/01/2026";"EMPORIO JARDIM";"-32.40";"BRB";"Supermercado"
"08/01/2026";"SITIO VERDE HORTFRUTI";"-173.92";"BRB";"Supermercado"
"09/01/2026";"SITIO VERDE HORTFRUTI";"-63.68";"BRB";"Supermercado"
"10/01/2026";"MAWE ACAITERIA";"-30.39";"BRB";"Restaurante"
"12/01/2026";"BAGATELLE";"-24.97";"BRB";"Restaurante"
