"Data";"Descrição";"Valor";"Conta";"Categoria"
"17/10/2025";"SMART (3/3)";"-326.66";"BRB";"Eletrônicos"
"25/11/2025";"MOVIDA RAC REAP (2/3)";"-185.07";"BRB";"Transporte"
"06/12/2025";"VIEDRA (2/2)";"-1150";"BRB";"Outros"
"12/12/2025";"IFD*ZANTE TAVERNA GREGA";"-160.49";"BRB";"Restaurante"
"12/12/2025";"DROGASIL 1368";"-83.84";"BRB";"Saúde"
"13/12/2025";"ATACADAO DIA A DIA";"-584.79";"BRB";"Supermercado"
"14/12/2025";"DROGASIL 4501";"-128.88";"BRB";"Saúde"
"16/12/2025";"TAIOBA SELF SERVICE";"-20.22";"BRB";"Restaurante"
"16/12/2025";"TAIOBA SELF SERVICE";"-19.63";"BRB";"Restaurante"
"17/12/2025";"PAO DE ACUCAR-1296";"-25.11";"BRB";"Supermercado"
"17/12/2025";"TAIOBA SELF SERVICE";"-6.82";"BRB";"Restaurante"
"18/12/2025";"PAO DE ACUCAR-1296";"-61.69";"BRB";"Supermercado"
"19/12/2025";"IMPORTSHX";"-35";"BRB";"Outros"
"20/12/2025";"ATACADAO DIA A DIA";"-535.75";"BRB";"Supermercado"
"21/12/2025";"DROGASIL 1368";"-35.49";"BRB";"Saúde"
"22/12/2025";"BIG BOX";"-12.04";"BRB";"Outros"
"23/12/2025";"GRAND CRU SUDOESTE";"-719.56";"BRB";"Lazer"
"26/12/2025";"BIG BOX";"-96.59";"BRB";"Supermercado"
"27/12/2025";"VMR COM DE JORNAIS";"-14";"BRB";"Lazer"
"27/12/2025";"SAMSUNG TERRACO S (1/12)";"-208.25";"BRB";"Eletrônicos"
"28/12/2025";"MARIA AMELIA SUDOESTE";"-12";"BRB";"Outros"
"28/12/2025";"ATACADAO DIA A DIA";"-601.84";"BRB";"Supermercado"
"28/12/2025";"AHCAI SUDOESTE";"-56";"BRB";"Saúde"
"29/12/2025";"TECNODIGITAL COMU";"-24";"BRB";"Serviços"
"29/12/2025";"SARKIS SARKIS LTDA";"-81.90";"BRB";"Restaurante"
"30/12/2025";"ATACADAO DIA A DIA";"-314.98";"BRB";"Supermercado"
"30/12/2025";"SALES E PENA CONSTR";"-13.80";"BRB";"Casa"
"30/12/2025";"DEUZARINACOSTA";"-50";"BRB";"Serviços"
"30/12/2025";"SABOR DO SERTAO DF";"-60";"BRB";"Restaurante"
"30/12/2025";"FRIGELAR - FILIAL 31";"-25";"BRB";"Supermercado"
"02/01/2026";"AHCAI SUDOESTE";"-41";"BRB";"Restaurante"
"02/01/2026";"BIG BOX";"-304.05";"BRB";"Supermercado"
"03/01/2026";"IFD*TOTEM ESTACAO DO G";"-109.85";"BRB";"Transporte"
"04/01/2026";"WMSTORE";"-55";"BRB";"Supermercado"
"05/01/2026";"TAIOBA SELF SERVICE";"-22.84";"BRB";"Restaurante"
"05/01/2026";"PAO DE ACUCAR-1296";"-14.07";"BRB";"Supermercado"
"06/01/2026";"JOSEFINA";"-118.03";"BRB";"Restaurante"
"06/01/2026";"PAO DE ACUCAR-1296";"-30.85";"BRB";"Supermercado"
"07/01/2026";"TAIOBA SELF SERVICE";"-6.33";"BRB";"Restaurante"
"07/01/2026";"ATACADAO DIA A DIA";"-687.96";"BRB";"Supermercado"
"08/01/2026";"OPENAI *CHATGPT SUBSCR";"-3.92";"BRB";"Serviços"
"09/01/2026";"BIG BOX";"-7.98";"BRB";"Supermercado"
"11/01/2026";"ATACADAO DIA A DIA";"-1079.38";"BRB";"Supermercado"
"13/01/2026";"DESCONTO ANUIDADE 50%";"70";"BRB";"A classificar"
"13/01/2026";"Tarifa Alerta por SMS";"-5";"BRB";"Serviços"
"13/01/2026";"Anuidade";"-140";"BRB";"Serviços"
"08/01/2026";"OPENAI *CHATGPT SUBSCR US$ 20,00 R$ 5,6029";"-112.02";"BRB";"Serviços"
